ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate,Wiki QID,ULAN
1,Robert Arneson,"American, 1930–1992",American,Male,1930,1992,,
2,Doroteo Arnaiz,"Spanish, born 1936",Spanish,Male,1936,0,,
3,Bill Arnold,"American, born 1941",American,Male,1941,0,,
4,Charles Arnoldi,"American, born 1946",American,Male,1946,0,Q1063584,500027998
5,Per Arnoldi,"Danish, born 1941",Danish,Male,1941,0,,
6,Danilo Aroldi,"Italian, born 1925",Italian,Male,1925,0,,
7,Bill Aron,"American, born 1941",American,Male,1941,0,,
9,David Aronson,"American, born Lithuania 1923",American,Male,1923,0,Q5230870,500003363
10,Irene Aronson,"American, born Germany 1918",American,Female,1918,0,Q19748568,500042413
11,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,Male,1886,1966,Q153739,500031000
12,Jüri Arrak,"Estonian, born 1936",Estonian,Male,1936,0,,
13,J. Arrelano Fischer,"Mexican, 1911–1995",Mexican,Male,1911,1995,,
15,Folke Arstrom,"Swedish, 1907–1997",Swedish,Male,1907,1997,,
16,Cristobal Arteche,"Spanish, 1900–1964",Spanish,Male,1900,1964,,
18,Artko,,,,0,0,,
19,Richard Artschwager,"American, 1923–2013",American,Male,1923,2013,Q568262,500114981
21,Ruth Asawa,"American, 1926–2013",American,Female,1926,2013,Q7382874,500077806
22,Isidora Aschheim,Israeli,Israeli,Female,0,0,,
23,Charles Robert Ashbee,"British, 1863–1942",British,Male,1863,1942,Q614071,500030367
24,Donald Ashcraft,"American, born 1927",American,Male,1927,0,,
25,E. M. Ashe,"American, 1867–1941",American,Male,1867,1941,,
26,Göran Åslin,"Swedish, born 1940",Swedish,,1940,0,,
27,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,Male,1885,1940,Q312070,500011232
28,Geneviève Asse,"French, born 1923",French,Female,1923,0,Q1978192,500025324
30,Sergio Asti,"Italian, born 1926",Italian,Male,1926,0,,
31,Dana Atchley,"American, 1941–2000",American,Female,1941,2000,,
32,Atelier Eggers,French,French,,0,0,,
33,A.A.P.,American,American,,0,0,,
34,Alvar Aalto,"Finnish, 1898–1976",Finnish,Male,1898,1976,Q82840,500002617
35,Aino Aalto,"Finnish, 1894–1949",Finnish,Female,1894,1949,Q273511,500024110
36,Eero Aarnio,"Finnish, born 1932",Finnish,Male,1932,0,Q707025,500270610
37,Jules Aarons,"American, 1921–2008",American,Male,1921,2008,,
38,Magdalena Abakanowicz,"Polish, 1930–2017",Polish,Female,1930,2017,Q158080,500084577
39,James Abbe,"American, 1883–1973",American,Male,1883,1973,Q321301,500026671
40,Jussuf Abbo,"Palestinian, 1888–1953",Palestinian,Male,1888,1953,,
41,Berenice Abbott,"American, 1898–1991",American,Female,1898,1991,Q231861,500020631
42,Nobuya Abe,"Japanese, 1913–1971",Japanese,Male,1913,1971,,
43,Abe Shiro (pen Name: Suichiku),"Japanese, born 1900",Japanese,Male,1900,0,,
