Персонаж,Какие формы встречаются в каждой книге,Предложения в книге
Гарри,"{'Filosofsky_Kamen': 'Гарриной, Гарри'}","{'Гарриной': 3, 'Гарри': 1328}"
Гарри,"{'Taynaya_Komnata': 'Гарриной, Гарри, Гаррину, Гаррина, Гарриных, Гаррино, Гарриного, Гаррины'}","{'Гарриной': 3, 'Гарри': 1603, 'Гаррину': 4, 'Гаррина': 1, 'Гарриных': 2, 'Гаррино': 2, 'Гарриного': 1, 'Гаррины': 1}"
Гарри,"{'Uznik_Azkabana': 'Гарриной, Гарри, Гаррином, Гарриным, Гаррину, Гарриных, Гаррино, Гаррины, Гарриного'}","{'Гарриной': 9, 'Гарри': 1958, 'Гаррином': 1, 'Гарриным': 1, 'Гаррину': 2, 'Гарриных': 1, 'Гаррино': 1, 'Гаррины': 1, 'Гарриного': 3}"
Гарри,"{'Kubok_Ognya': 'Гарриной, Гарри, Гарриными, Гарриным, Гаррину, Гаррина, Гарриному, Гаррин, Гарриного, Гаррины'}","{'Гарриной': 8, 'Гарри': 3070, 'Гарриными': 1, 'Гарриным': 2, 'Гаррину': 3, 'Гаррина': 1, 'Гарриному': 1, 'Гаррин': 3, 'Гарриного': 3, 'Гаррины': 3}"
Гарри,"{'Orden_Fenixa': 'Гаррин, Гарри, Гарротного, Гарриных'}","{'Гаррин': 1, 'Гарри': 4359, 'Гарротного': 1, 'Гарриных': 1}"
Гарри,{'Dary_Smerti': 'Гарри'},{'Гарри': 3458}
Сириус,"{'Filosofsky_Kamen': 'Сириусу, Сириус'}","{'Сириусу': 1, 'Сириус': 1}"
Сириус,{'Taynaya_Komnata': ''},{}
Сириус,"{'Uznik_Azkabana': 'Сириусом, Сириусе, Сириуса, Сириус, Сириусу'}","{'Сириусом': 6, 'Сириусе': 2, 'Сириуса': 28, 'Сириус': 89, 'Сириусу': 9}"
Сириус,"{'Kubok_Ognya': 'Сириусом, Сириусе, Сириуса, Сириус, Сириусу'}","{'Сириусом': 15, 'Сириусе': 3, 'Сириуса': 40, 'Сириус': 117, 'Сириусу': 28}"
Сириус,"{'Orden_Fenixa': 'Сириусом, Сириусова, Сириусе, Сириуса, Сириус, Сириусу'}","{'Сириусом': 28, 'Сириусова': 1, 'Сириусе': 8, 'Сириуса': 140, 'Сириус': 401, 'Сириусу': 35}"
Сириус,"{'Dary_Smerti': 'Сириусу, Сириуса, Сириус'}","{'Сириусу': 3, 'Сириуса': 35, 'Сириус': 32}"
Гермиона,"{'Filosofsky_Kamen': 'Гермиона, Гермионе, Гермиону, Гермионой, Гермионы'}","{'Гермиона': 213, 'Гермионе': 16, 'Гермиону': 12, 'Гермионой': 23, 'Гермионы': 18}"
Гермиона,"{'Taynaya_Komnata': 'Гермионовой, Гермиона, Гермионе, Гермиону, Гермионы, Гермионой'}","{'Гермионовой': 1, 'Гермиона': 209, 'Гермионе': 22, 'Гермиону': 21, 'Гермионы': 30, 'Гермионой': 32}"
Гермиона,"{'Uznik_Azkabana': 'Гермиона, Гермионе, Гермиону, Гермионой, Гермионы'}","{'Гермиона': 459, 'Гермионе': 27, 'Гермиону': 46, 'Гермионой': 70, 'Гермионы': 44}"
Гермиона,"{'Kubok_Ognya': 'Гермиона, Гермиониных, Гермионе, Гермиону, Гермионы, Гермионой, Гермионину'}","{'Гермиона': 614, 'Гермиониных': 1, 'Гермионе': 44, 'Гермиону': 55, 'Гермионы': 68, 'Гермионой': 72, 'Гермионину': 1}"
Гермиона,"{'Orden_Fenixa': 'Гермиона, Гермионе, Гермиону, Гермионой, Гермионы, Гермионин'}","{'Гермиона': 1003, 'Гермионе': 60, 'Гермиону': 106, 'Гермионой': 81, 'Гермионы': 111, 'Гермионин': 1}"
Гермиона,"{'Dary_Smerti': 'Гермиона, Гермионе, Гермионина, Гермиониной, Гермионато, Гермиону, Гермионы, Гермионой, Гермионин'}","{'Гермиона': 919, 'Гермионе': 78, 'Гермионина': 1, 'Гермиониной': 1, 'Гермионато': 1, 'Гермиону': 121, 'Гермионы': 116, 'Гермионой': 65, 'Гермионин': 1}"
