"America_1961_JFK" "America_1963_MLK" "America_1964_Reagan" "America_1968_MLK" "England_1940_Churchill" "England_1940_Churchill_1" "England_1946_Churchill" "Japan_1941_Hirohito" "Japan_1945_Hirohito" "Russia_1991_Yeltsin" "Russia_1992_Yeltsin" "Singapore_1977_LKY" "Singapore_1987_LKY" "Singapore_1994_LKY" "Yugoslavia_1988_Milosevic" "Yugoslavia_1989_Milosevic"
"the" 6.37509266123054 6.10169491525424 5.70576964019587 4.98786139924961 7.3852922690132 7.41797432239658 6.87384235439391 6.42722117202268 9.9388379204893 8.85167464114832 8.19764177428411 5.57341907824223 6.12061206120612 3.78151260504202 5.52486187845304 5.6552474170745
"and" 3.03928836174944 3.05084745762712 2.87417500532255 4.01677333921872 3.8340666247643 2.99572039942939 3.97201070179049 5.2930056710775 4.74006116207951 3.58851674641148 3.93037619314992 2.89389067524116 1.98019801980198 2.80112044817927 5.21792510742787 4.89396411092985
"of" 4.89251297257228 5.53672316384181 2.7890142644241 2.11873758552196 3.5512256442489 3.99429386590585 3.93084996912945 5.10396975425331 7.49235474006116 6.69856459330144 5.83941605839416 4.18006430868167 2.43024302430243 2.52100840336134 3.25352977286679 3.53452963567156
"to" 3.18754633061527 3.27683615819209 2.74643389397488 4.01677333921872 2.29415461973602 3.28102710413695 2.86067091994237 3.21361058601134 4.28134556574924 4.54545454545455 3.03200449185851 1.82207931404073 3.42034203420342 2.10084033613445 2.82381829343155 2.33822729744426
"in" 1.77909562638992 1.92090395480226 1.97998722588887 1.98631648642684 1.97988686360779 2.71041369472183 2.40790286067092 1.89035916824197 0.611620795107034 1.19617224880383 2.75126333520494 2.2508038585209 0.81008100810081 1.82072829131653 3.31491712707182 2.99075584556824
"a" 2.14974054855448 2.25988700564972 2.49095167127954 1.52284263959391 1.414204902577 0.998573466476462 1.44062564313645 0.378071833648393 0.458715596330275 1.67464114832536 2.07748455923638 2.67952840300107 1.98019801980198 2.80112044817927 1.65745856353591 1.63132137030995
"that" 1.48257968865827 1.35593220338983 2.08643815201192 2.2732288677996 1.38277812696417 2.71041369472183 1.33772381148384 0.945179584120983 0.917431192660551 0.956937799043062 1.34755755193711 1.71489817792069 2.25022502250225 2.80112044817927 1.96439533456108 1.63132137030995
"we" 2.2238695329874 1.69491525423729 2.15030870768576 2.44979033325977 1.63419233186675 0.713266761768902 1.11133978184812 1.13421550094518 1.68195718654434 2.15311004784689 1.01066816395284 1.71489817792069 0.18001800180018 0.700280112044818 1.96439533456108 0.65252854812398
"i" 0.296515937731653 1.35593220338983 0.830317223759847 3.00154491282278 0.848522941546197 2.85306704707561 1.37888454414489 0 0 0.239234449760766 0.673778775968557 0.535905680600214 2.52025202520252 2.94117647058824 0.429711479435236 0.217509516041327
"is" 0.518902891030393 1.24293785310734 1.12837981690441 0.949017876848378 0.659962287869265 1.14122681883024 1.48178637579749 0.378071833648393 1.07033639143731 0.717703349282297 1.45985401459854 2.14362272240086 0.72007200720072 1.82072829131653 1.78023327194598 1.63132137030995
"have" 0.296515937731653 1.35593220338983 0.745156482861401 0.750386228205694 1.22564424890006 1.4265335235378 0.987857583864993 1.32325141776938 1.07033639143731 0.956937799043062 0.449185850645705 1.28617363344051 0.54005400540054 1.40056022408964 0.859422958870473 0.65252854812398
"for" 1.18606375092661 0.451977401129944 1.08579944645518 0.441403663650408 0.817096165933375 0.998573466476462 0.720312821568224 0.756143667296786 0.764525993883792 0.717703349282297 1.17911285794497 0.321543408360129 1.35013501350135 0.980392156862745 1.22774708410068 1.25067971723763
"it" 0.593031875463306 0.451977401129944 0.638705556738344 0.926947693665857 0.565681961030798 1.14122681883024 1.00843795019551 0.378071833648393 0.764525993883792 0.478468899521531 0.898371701291409 1.07181136120043 0.81008100810081 1.40056022408964 1.10497237569061 1.57694399129962
"this" 0.889547813194959 1.01694915254237 1.00063870555674 0.55175457956301 1.03708359522313 1.14122681883024 0.61741098991562 0.189035916824197 0.152905198776758 1.19617224880383 0.786075238629983 0.643086816720257 0.36003600360036 1.68067226890756 1.16635972989564 1.63132137030995
"our" 1.55670867309118 0.790960451977401 0.936768149882904 0.331052747737806 0.942803268384664 0.855920114122682 0.658571722576662 4.72589792060491 2.75229357798165 0.717703349282297 0.72992700729927 0 0.09000900090009 0.140056022408964 0.736648250460405 0.489396411092985
"be" 0.518902891030393 1.80790960451977 0.468384074941452 0.595894945928051 0.911376492771842 2.28245363766049 0.967277217534472 0.378071833648393 0.458715596330275 0.239234449760766 0.280741156653565 0.321543408360129 0.9000900090009 0.840336134453782 0.49109883364027 0.65252854812398
"all" 0.667160859896219 0.677966101694915 0.361933148818395 0.485544030015449 0.879949717159019 1.28388017118402 1.02901831652603 0.56710775047259 0.764525993883792 1.19617224880383 0.72992700729927 0.7502679528403 0.27002700270027 0.420168067226891 1.10497237569061 0.761283306144644
"not" 1.40845070422535 0.564971751412429 0.425803704492229 0.55175457956301 0.785669390320553 0.285306704707561 0.740893187898745 0.378071833648393 0.305810397553517 0.478468899521531 0.393037619314992 1.39335476956056 0.63006300630063 0.980392156862745 0.736648250460405 0.815660685154976
"are" 0.667160859896219 0.112994350282486 0.340642963593783 0.904877510483337 0.659962287869265 0.427960057061341 0.782053920559786 0 0.458715596330275 1.43540669856459 0.786075238629983 0.643086816720257 0.09000900090009 0.700280112044818 0.368324125230203 0.761283306144644
"they" 0.0741289844329133 0.225988700564972 1.08579944645518 0.706245861840653 0.628535512256442 0 0.493928791932496 0.378071833648393 0 0.239234449760766 0.0561482313307131 0.643086816720257 0.27002700270027 0.980392156862745 0.49109883364027 1.14192495921697
"but" 0.963676797627873 0.338983050847458 0.447093889716841 0.794526594570735 0.565681961030798 0.570613409415121 0.5968306235851 0.56710775047259 0.458715596330275 0 0.280741156653565 0.643086816720257 0.27002700270027 0.840336134453782 0.429711479435236 0.543773790103317
"on" 0.22238695329874 0.338983050847458 0.596125186289121 0.728316045023174 0.59710873664362 0.427960057061341 0.329285861288331 0.378071833648393 0.152905198776758 0.478468899521531 0.898371701291409 0.214362272240086 2.07020702070207 0.560224089635854 0.306936771025169 0.271886895051659
"with" 0.370644922164566 1.35593220338983 0.340642963593783 0.662105495475612 0.565681961030798 1.14122681883024 0.699732455237703 0.756143667296786 0.611620795107034 0.956937799043062 0.168444693992139 0.7502679528403 0.18001800180018 1.12044817927171 0.49109883364027 0.0543773790103317
"you" 0.518902891030393 0.225988700564972 0.659995741962955 1.1917898918561 0.0628535512256442 0.285306704707561 0.329285861288331 0 0.764525993883792 0 0.112296462661426 1.92926045016077 0 1.40056022408964 0.0613873542050338 0
"by" 0.518902891030393 0.451977401129944 0.404513519267618 0.397263297285367 0.785669390320553 0.713266761768902 0.679152088907183 0.756143667296786 0.611620795107034 0.478468899521531 0.280741156653565 0.428724544480171 0.81008100810081 0.140056022408964 0.184162062615101 0.32626427406199
