Source,Target,Weight,Type
America_1961_JFK,America_1964_Reagan,3,undirected
America_1961_JFK,England_1946_Churchill,1,undirected
America_1961_JFK,Russia_1992_Yeltsin,2,undirected
America_1963_MLK,England_1940_Churchill,2,undirected
America_1963_MLK,England_1946_Churchill,1,undirected
America_1963_MLK,Russia_1992_Yeltsin,3,undirected
America_1964_Reagan,America_1961_JFK,3,undirected
America_1964_Reagan,America_1968_MLK,6,undirected
America_1964_Reagan,England_1940_Churchill,3,undirected
America_1964_Reagan,Singapore_1977_LKY,5,undirected
America_1964_Reagan,Singapore_1987_LKY,3,undirected
America_1964_Reagan,Singapore_1994_LKY,2,undirected
America_1968_MLK,America_1964_Reagan,6,undirected
America_1968_MLK,Singapore_1977_LKY,4,undirected
America_1968_MLK,Singapore_1987_LKY,2,undirected
America_1968_MLK,Singapore_1994_LKY,4,undirected
England_1940_Churchill,America_1963_MLK,2,undirected
England_1940_Churchill,America_1964_Reagan,3,undirected
England_1940_Churchill,England_1940_Churchill_1,2,undirected
England_1940_Churchill,England_1946_Churchill,6,undirected
England_1940_Churchill,Japan_1941_Hirohito,3,undirected
England_1940_Churchill,Singapore_1987_LKY,1,undirected
England_1940_Churchill_1,England_1940_Churchill,2,undirected
England_1940_Churchill_1,England_1946_Churchill,3,undirected
England_1940_Churchill_1,Japan_1945_Hirohito,1,undirected
England_1946_Churchill,America_1961_JFK,1,undirected
England_1946_Churchill,America_1963_MLK,1,undirected
England_1946_Churchill,England_1940_Churchill,6,undirected
England_1946_Churchill,England_1940_Churchill_1,3,undirected
England_1946_Churchill,Japan_1941_Hirohito,1,undirected
England_1946_Churchill,Japan_1945_Hirohito,1,undirected
England_1946_Churchill,Russia_1992_Yeltsin,5,undirected
England_1946_Churchill,Yugoslavia_1988_Milosevic,1,undirected
England_1946_Churchill,Yugoslavia_1989_Milosevic,2,undirected
Japan_1941_Hirohito,England_1940_Churchill,3,undirected
Japan_1941_Hirohito,England_1946_Churchill,1,undirected
Japan_1941_Hirohito,Japan_1945_Hirohito,5,undirected
Japan_1941_Hirohito,Russia_1991_Yeltsin,1,undirected
Japan_1945_Hirohito,England_1940_Churchill_1,1,undirected
Japan_1945_Hirohito,England_1946_Churchill,1,undirected
Japan_1945_Hirohito,Japan_1941_Hirohito,5,undirected
Japan_1945_Hirohito,Russia_1991_Yeltsin,2,undirected
Japan_1945_Hirohito,Russia_1992_Yeltsin,4,undirected
Russia_1991_Yeltsin,Japan_1941_Hirohito,1,undirected
Russia_1991_Yeltsin,Japan_1945_Hirohito,2,undirected
Russia_1991_Yeltsin,Russia_1992_Yeltsin,3,undirected
Russia_1992_Yeltsin,America_1961_JFK,2,undirected
Russia_1992_Yeltsin,America_1963_MLK,3,undirected
Russia_1992_Yeltsin,England_1946_Churchill,5,undirected
Russia_1992_Yeltsin,Japan_1945_Hirohito,4,undirected
Russia_1992_Yeltsin,Russia_1991_Yeltsin,3,undirected
Russia_1992_Yeltsin,Yugoslavia_1988_Milosevic,2,undirected
Russia_1992_Yeltsin,Yugoslavia_1989_Milosevic,4,undirected
Singapore_1977_LKY,America_1964_Reagan,5,undirected
Singapore_1977_LKY,America_1968_MLK,4,undirected
Singapore_1977_LKY,Singapore_1994_LKY,2,undirected
Singapore_1987_LKY,America_1964_Reagan,3,undirected
Singapore_1987_LKY,America_1968_MLK,2,undirected
Singapore_1987_LKY,England_1940_Churchill,1,undirected
Singapore_1994_LKY,America_1964_Reagan,2,undirected
Singapore_1994_LKY,America_1968_MLK,4,undirected
Singapore_1994_LKY,Singapore_1977_LKY,2,undirected
Yugoslavia_1988_Milosevic,England_1946_Churchill,1,undirected
Yugoslavia_1988_Milosevic,Russia_1992_Yeltsin,2,undirected
Yugoslavia_1988_Milosevic,Yugoslavia_1989_Milosevic,6,undirected
Yugoslavia_1989_Milosevic,England_1946_Churchill,2,undirected
Yugoslavia_1989_Milosevic,Russia_1992_Yeltsin,4,undirected
Yugoslavia_1989_Milosevic,Yugoslavia_1988_Milosevic,6,undirected
