"Dostoevsky_BednieLyudi" "Dostoevsky_Besy" "Dostoevsky_PrestuplenieINakazanie" "Dostoevsky_UnijennieIOskorblennie" "Goncharov_Oblomov" "Goncharov_Obryv" "Goncharov_ObyknovennayaIstoriya" "Tolstoy_AnnaKarenina" "Tolstoy_SemeynoeShastye" "Tolstoy_VoinaIMir" "Tolstoy_Voskresenie" "Turgenev_DvoryanskoeGnezdo" "Turgenev_Dym" "Turgenev_OtsyIDeti"
"и" 4.04702852236955 4.30611090244332 4.88955805917542 4.65017242962951 4.04045831262509 4.27850489226583 3.87873047989066 4.50887064557985 5.66836790096645 4.45124458132876 5.15678277243415 4.05795270284499 4.15274366922984 3.7482512400298
"в" 1.80530382524087 2.391015979727 2.1586510450017 1.84286775941683 2.36879928002472 2.21206048935699 1.92860294671589 2.79327013895125 2.20074564737395 3.27644780404065 2.58820621314896 2.43856213279424 2.22432465075084 2.17482149021603
"не" 2.27272727272727 2.37199815527103 2.17999526965832 2.30796850341102 2.61662659341545 2.67455456691168 2.8164921381448 2.21634527544059 2.46859955840301 1.73181093615886 1.87790355296735 2.4638322067092 2.4980876846894 2.429186576791
"что" 2.77353810931985 1.88038739308417 2.00231902116539 2.27790813216543 1.71867234408371 1.57917385691372 1.9167644241635 2.03611431969008 2.47583885329569 1.22745075410593 1.90407642478571 1.29087960915619 1.43323000120778 1.53345809335199
"он" 0.891920251836306 1.20287739684019 1.64812026605288 1.22412511794521 1.7643424180961 1.71566177077855 1.56376120623783 1.89521211201571 2.1030151663228 1.46872137390815 1.5958181567028 1.70783582875313 1.5721244816619 1.60795072584894
"на" 1.14709529714776 1.17862967065883 1.39198957017347 1.24082532419275 1.61389982134942 1.55613608801297 1.3022374807624 1.25511351143785 1.5238715749086 1.36323309843409 1.40315673915098 1.5056752374334 1.30842626514755 1.40990933701557
"с" 0.779834016979872 1.3293459294724 1.48198143629326 1.22412511794521 1.39159401990678 1.30924075337851 1.29578010482474 1.18729464664513 0.999022695189488 1.24115521382564 1.46059165230794 1.38564238633731 1.35472442529893 1.50802158469449
"я" 2.72822665267576 1.77008401123953 1.3931433120468 2.73716380397298 0.971832310234126 1.22056707685487 1.40878418373387 1.0519665922414 3.52191696528758 0.609668135688577 0.63832726268112 1.04239054899236 1.42115222029872 1.42444448481985
"как" 0.982543165124487 0.875770816197481 1.0418289116176 1.10555365358762 1.07056026434913 0.94020177608158 1.03318015002637 0.912303085293835 1.11847106091867 0.825152732597139 0.907326223036489 0.701244551140312 0.851483554088329 0.828503424844201
"она" 0.252790231803873 0.474970165787885 0.521491326745467 1.14563414858173 1.09742501376818 1.44964074120761 0.830849037312871 1.1659270591077 0.173743077424259 0.525277515309324 0.801907711545872 1.19611683197507 0.865574298482226 0.697687094605643
